rating,rating_raw,date,comment,raw_word_count,language,clean_comment,year_month,clean_word_count
4.0,★★★★,2016-01-23,"★★★★ Watched by bealobo 23 Jan 2016
This film was very bunny (sorry I had to).
3 likes",18,en,watched bealobo jan film bunny sorry like,2016-01,7
3.5,★★★½,2016-01-28,"★★★½ Watched by Joseph G 28 Jan 2016
Not the most original film but the universe is quite interesting. It's also very funny.
No likes yet",26,en,watched joseph g jan original film universe quite interesting also funny like yet,2016-01,13
3.5,★★★½,2016-01-26,"★★★½
Watched by Matti 26 Jan 2016
1
A charming story with inspiring values, rich visuals and some surprising humour. Zootopia stumbles a bit in its third act, but remains a pleasant surprise that shows Pixar isn't the only one capable of entertaining yound and old with (digital) animation.
2 likes",51,en,watched matti jan charming story inspiring value rich visuals surprising humour zootopia stumble bit third act remains pleasant surprise show pixar one capable entertaining yound old digital animation like,2016-01,29
5.0,★★★★★,2016-02-09,"★★★★★
Rewatched by Connor Lightbody 09 Feb 2016
5
I laughed, I cried, I laughed again.
Zootopia is one of, if not the downright funniest animated movie that I have ever seen, with such a clever, if convenient script and themes that are so relevant for this modern society.
Universally loveable, the ENTIRE family will love this film, from pop culture references to its gorgeous animation.
Oh, and you've not seen anything of the Sloth from the trailer yet!
Full review embargoed!
42 likes",84,en,rewatched connor lightbody feb laughed cried laughed zootopia one downright funniest animated movie ever seen clever convenient script theme relevant modern society universally loveable entire family love film pop culture reference gorgeous animation oh seen anything sloth trailer yet full review embargoed like,2016-02,43
4.5,★★★★½,2016-02-09,"★★★★½
Watched by Alex 09 Feb 2016
1
The following paragraph is to address the ""HOW DID YOU GET TO SEE THIS EARLY"" questions I would be getting if I didn't.
I was lucky enough to see Zootopia, or Zootropolis as it is otherwise known in the UK, 6 weeks ahead of it's official release in the UK. This was part of a 5 day long animation and gaming convention at Teesside University called Animex. The reason I was able to see Zootopia early was because one of… more
18 likes",91,en,watched alex feb following paragraph address get see early question would getting lucky enough see zootopia zootropolis otherwise known uk week ahead official release uk part day long animation gaming convention teesside university called animex reason able see zootopia early one like,2016-02,42
4.0,★★★★,2016-02-09,"★★★★ Watched by Mark Harrison 09 Feb 2016
Unofficially self-embargoed- there were notices up asking us not to share any details about the movie in print or online, so I shan't, but I've gotta say- I'm looking forward to the thinkpieces that this one inspires (#AnimalLivesMatter) and even on top of being really funny and surprisingly political, I applaud any Disney film that can get away with an extended visual reference to B_______ B__.
2 likes",76,en,watched mark harrison feb unofficially self embargoed notice asking u share detail movie print online gotta say looking forward thinkpieces one inspires animallivesmatter even top really funny surprisingly political applaud disney film get away extended visual reference b b like,2016-02,40
5.0,★★★★★,2016-02-09,"★★★★★
Watched by Connor Lightbody 09 Feb 2016
11
“Life isn’t a cartoon musical where your dreams come true, so let it go!”""
I was very lucky and privileged to see Zootopia as part of the Animex Festival, with guest speaker Renato Des Anjos who is the Head of Animation for the ""Zootopia"" project and it's production. With that, I got to see the finished film with animation students, all of whom were excited and passionate about what they were witnessing. It was also a very intriguing watch due… more
88 likes",92,en,watched connor lightbody feb life cartoon musical dream come true let go lucky privileged see zootopia part animex festival guest speaker renato de anjos head animation zootopia project production got see finished film animation student excited passionate witnessing also intriguing watch due like,2016-02,43
5.0,★★★★★,2016-02-11,"★★★★★
Watched by nicklasjm 11 Feb 2016
1
This review may contain spoilers. I can handle the truth.
1 like",20,en,watched nicklasjm feb review may contain spoiler handle truth like,2016-02,10
5.0,★★★★★,2016-02-13,"★★★★★
Watched by kpucela 13 Feb 2016
Simplemente magnífica.
3 likes",11,en,watched kpucela feb simplemente magn fica like,2016-02,7
4.0,★★★★,2016-02-15,"★★★★
Watched by Jeffrey Rex Bertelsen 15 Feb 2016
2
I was happy to find out that Zootopia was released one month early in Denmark, much less so to realize that I, at first, had a tough time finding a theater showing it in English near me. Thankfully, I was able to find time to see it in English at the CinemaxX in Copenhagen. Zootopia is the 55th Walt Disney Animation Studios-film, and the first since the release of Big Hero 6 in 2014, which I enjoyed very much.
I… more
1 like",93,en,watched jeffrey rex bertelsen feb happy find zootopia released one month early denmark much less realize first tough time finding theater showing english near thankfully able find time see english cinemaxx copenhagen zootopia th walt disney animation studio film first since release big hero enjoyed much like,2016-02,47
3.5,★★★½,2016-02-15,"★★★½ Watched by Tep Mayo 15 Feb 2016
A buddy-cop noir addressing issues of stereotyping, prejudice and discrimination, this anthropomorphic Disney film is a clear call for harmony and acceptance in the midst of diversity.
Zootopia is the metaphorical New York, a scary big city and a melting pot of highly evolved predators and preys. Although lions and sheep are coexisting in the same workplace, distrust, fear and tension are still simmering.
Our heroine is the idealistic Judy Hopps (Ginnifer Goodwin), who, determined to break stereotypes, pursues a… more
2 likes",91,en,watched tep mayo feb buddy cop noir addressing issue stereotyping prejudice discrimination anthropomorphic disney film clear call harmony acceptance midst diversity zootopia metaphorical new york scary big city melting pot highly evolved predator prey although lion sheep coexisting workplace distrust fear tension still simmering heroine idealistic judy hopps ginnifer goodwin determined break stereotype pursues like,2016-02,55
3.5,★★★½,2016-02-16,"★★★½
Watched by Peter Martin 16 Feb 2016
Fresh combo of comedy, mystery, and social issues. Avoids a heavy hand; aimed at youngsters but with more than enough to delight oldsters.
2 likes",33,en,watched peter martin feb fresh combo comedy mystery social issue avoids heavy hand aimed youngster enough delight oldster like,2016-02,19
3.0,★★★,2016-02-17,"★★★
Watched by richardson abdinegara 17 Feb 2016
funny and surprisingly heartfelt
3 likes",14,en,watched richardson abdinegara feb funny surprisingly heartfelt like,2016-02,8
5.0,★★★★★,2016-02-17,"★★★★★
Watched by AdrianReinhart 17 Feb 2016
Amazing movie from Disney.
Taught about true friendship; accepting each other without judging and accept them for who they are.
And this movie taught that your limit is your own; anything is possible as long as you work hard for it.
Recommended movie!
3 likes",52,en,watched adrianreinhart feb amazing movie disney taught true friendship accepting without judging accept movie taught limit anything possible long work hard recommended movie like,2016-02,24
5.0,★★★★★,2016-02-17,"★★★★★
Watched by Shinmei90 17 Feb 2016
Ya tengo nueva peli Disney favorita xD
(Vale no, Rompe Ralph me puede xD)
2 likes",23,en,watched shinmei feb ya tengo nueva peli disney favorita xd vale rompe ralph puede xd like,2016-02,16
5.0,★★★★★,2016-02-17,"★★★★★
Watched by Mehdi Zadnane 17 Feb 2016
Filled with fantastic humor, great characters and a smart plot that actually has quite a few things to say, Zootopia is one of Disney animation's strongest offerings in years.
3 likes",39,en,watched mehdi zadnane feb filled fantastic humor great character smart plot actually quite thing say zootopia one disney animation strongest offering year like,2016-02,23
3.5,★★★½,2016-02-14,"★★★½ Watched by esteban 14 Feb 2016
4
79% 🍅 - Walt Disney presents : Chinatown Confidential
Sounds crazy, right? What's even more surprising, is the fact that I'm not kidding. Not at all. The creators of Zootopia were clearly heavily inspired by those classic movies. And it shows the whole running time, with confidence and proud. I guess in some way, you can see Byron Howard and Rich Moore as the Roman Polanski and Brian De Palma of Walt Disney Animation, bringing one of the studio's most… more
15 likes",91,en,watched esteban feb walt disney present chinatown confidential sound crazy right even surprising fact kidding creator zootopia clearly heavily inspired classic movie show whole running time confidence proud guess way see byron howard rich moore roman polanski brian de palma walt disney animation bringing one studio like,2016-02,47
5.0,★★★★★,2016-02-17,"★★★★★
Watched by Brandon 17 Feb 2016
Quickie--Zootopia! Disney animation has done it again! I straight up LOVE this movie. A rich story, great animation, a perfect voice cast, and awesome humor. You definitely need to go see this one. Disney/Pixar had two movies release last year and I would consider both of them inferior to this gem right here. No words, just go catch this flick on March 4, 2016!
I give Zootopia a 95%
2 likes",78,en,watched brandon feb quickie zootopia disney animation done straight love movie rich story great animation perfect voice cast awesome humor definitely need go see one disney pixar two movie release last year would consider inferior gem right word go catch flick march give zootopia like,2016-02,45
5.0,★★★★★,2016-02-18,"★★★★★
Watched by Pineapple St. James 18 Feb 2016
Zootopia is the modern metropolis, populated by all manner of mammals. Everyone has an equal opportunity to better themselves, but most resign themselves to their fates. Rabbits are farmers and a lion is Mayor. For Judy Hopps (Ginnifer Goodwin), her improbable dreams of becoming a police and making Zootopia safer are laughable to most. Bunnies aren't meant to be cops.
Zootopia, is easily the best Disney film since Frozen (2013). It's take on discrimination, racial profiling and sexism is profound,… more
2 likes",92,en,watched pineapple st james feb zootopia modern metropolis populated manner mammal everyone equal opportunity better resign fate rabbit farmer lion mayor judy hopps ginnifer goodwin improbable dream becoming police making zootopia safer laughable bunny meant cop zootopia easily best disney film since frozen take discrimination racial profiling sexism profound like,2016-02,50
4.0,★★★★,2016-02-17,"★★★★
Watched by Conan Tan 17 Feb 2016
Film #55 of the Walt Disney animated canon. The story seemed to work better when the focus shifted from Nick Wilde's character to Judy Hopps.
2 likes",35,en,watched conan tan feb film walt disney animated canon story seemed work better focus shifted nick wilde character judy hopps like,2016-02,21
4.5,★★★★½,2016-02-19,"★★★★½
Watched by Jody Pangilinan 19 Feb 2016
Zootopia is indeed like nothing you've ever seen be-fur. First few minutes and I'm already overwhelmed by the visuals. I enjoyed it from beginning to end!
2 likes",36,en,watched jody pangilinan feb zootopia indeed like nothing ever seen fur first minute already overwhelmed visuals enjoyed beginning end like,2016-02,20
3.0,★★★,2016-02-19,"★★★ Watched by Laura Jenny 19 Feb 2016
Cinema
No likes yet",12,en,watched laura jenny feb cinema like yet,2016-02,7
3.5,★★★½,2016-02-17,"★★★½ Watched by PASKALIS DAMAR 17 Feb 2016
1
Zootopia still manages to have all the inventive world-building, all the likable characters, and all the funny moment, in spite of its choppy narratives. This literal animal kingdom is definitely funny without patronizing; however, it could’ve been funnier.
More: sinekdoks.com/2016/02/18/zootopia-2016-review/
3 likes",51,en,watched paskalis damar feb zootopia still manages inventive world building likable character funny moment spite choppy narrative literal animal kingdom definitely funny without patronizing however could funnier sinekdoks com zootopia review like,2016-02,32
3.0,★★★,2016-02-19,"★★★ Watched by mwheelock 19 Feb 2016
An animated commentary on modern life
1 like",15,en,watched mwheelock feb animated commentary modern life like,2016-02,8
