rating,rating_raw,date,content
5,★★★★★,2026-01-21,"★★★★★ Watched by evawoeinie 21 Jan 2026
enemies to friends ini
No likes yet"
4.5,★★★★½,2016-03-24,"★★★★½ Watched by lilyymerrell 24 Mar 2016
i love movies with no humans
No likes yet"
3.5,★★★½,2026-01-21,"★★★½ Watched by Pandafiqz 21 Jan 2026
furry go to kidzania
No likes yet"
4,★★★★,2026-01-20,"★★★★ Watched by wufalo 20 Jan 2026
Good
No likes yet"
4,★★★★,2026-01-21,"★★★★ Watched by SkyBadger 21 Jan 2026
Easy to watch with good messages around being inclusive.
1 like"
4,★★★★,2026-01-21,"★★★★ Watched by given nsme 21 Jan 2026
nck wilde da mutşgd
No likes yet"
4,★★★★,2026-01-20,"★★★★ Rewatched by alex_venn 20 Jan 2026
So much better than I remembered it
No likes yet"
4.5,★★★★½,2026-01-21,"★★★★½ Watched by Adam Zahwan 21 Jan 2026
The song,bateman,city,bateman,jokes,Jason,plot twist is just perfect
No likes yet"
3,★★★,2026-01-21T06:48:50.060Z,"★★★ Added by briliaz 21 Jan 2026
Jujur seru HAHA.
No likes yet"
3.5,★★★½,2026-01-20,"★★★½ Watched by Gerard 20 Jan 2026
75/100.
This is a really nice animation movie, very animal friendly. It's cool to see how the city is organized and I wish the surroundings would've been more explored and explained. The city is fantastic. It has a couple of jokes that are good and made me laugh. Nice movie!
No likes yet"
4.5,★★★★½,2026-01-21,"★★★★½ Watched by blurryrench 21 Jan 2026
e bu harikaydı? tavşan ve tilki arasındaki çekim de inanılmaz iyiydi hele tilki… inanılmaz ya
No likes yet"
4,★★★★,2026-01-21,"★★★★ Watched by luna 21 Jan 2026
FODA F O D A amassa nick
No likes yet"
3.5,★★★½,2026-01-21,"★★★½
Watched by Cormac Gibney 21 Jan 2026
I like this movie, I like what it trys to do. I think for the most part it works very well, but there are a few big strikeouts. The twist villian is such an asspull tho Jesus christ
No likes yet"
2.5,★★½,2026-01-21,"★★½ Watched by sofiiixxg 21 Jan 2026
La parte de la selva es prime 
Ahora que la volví a ver tiene un muy buen concepto
No likes yet"
3.5,★★★½,2026-01-21,"★★★½ Watched by Shewrites 21 Jan 2026
Crazy.
No likes yet"
3.5,★★★½,2026-01-21,"★★★½ Watched by Dorifto 21 Jan 2026
I didn't think she be so small.
No likes yet"
5,★★★★★,2026-01-21,"★★★★★ Watched by snoopypieces 21 Jan 2026
seruu my childhood movie
No likes yet"
5,★★★★★,2026-01-21,"★★★★★
Watched by s4fiyru 21 Jan 2026
I go la la la throughout the movie seeing nick bahahah nagpplay yung sexyback sa utak ko holy airball
kimi! I just go by their saying predators are predators by instinct ittttt ain't their fault they bite ok bye
No likes yet"
4.5,★★★★½,2026-01-20,"★★★★½ Watched by Zion 20 Jan 2026
It’s insane that I’m watching this for the first time in 2026.. I loved it
No likes yet"
4,★★★★,2026-01-20,"★★★★
Watched by angie 20 Jan 2026
1
esto m hace furra?
1 like"
5,★★★★★,2026-01-19,"★★★★★
Rewatched by Brandon Santos 19 Jan 2026
It was a fun rewatch. Had our friend Marlene watch it for the first time to prep for the second movie on Wednesday and she too had fallen victim to Nick Wilde…
No likes yet"
5,★★★★★,2026-01-20,"★★★★★
Rewatched by lina 🍑 20 Jan 2026
Loved this from 2016-2026
10/10 movie
No likes yet"
5,★★★★★,2026-01-20,"★★★★★
Watched by niki 20 Jan 2026
Is this some kind of narco-state they live in
No likes yet"
5,★★★★★,2026-01-20,"★★★★★
Watched by Shea Lodriguss 20 Jan 2026
It’s a kids movie with a Breaking Bad reference. This is the peak.
No likes yet"
3.5,★★★½,2026-01-20,"★★★½ Watched by neensnozzi 20 Jan 2026
So cute!!! 🦊🐰🦒🐘🐆🦏
2 likes"
5,★★★★★,2026-01-18,"★★★★★
Rewatched by sannaelena 18 Jan 2026
This review may contain spoilers. I can handle the truth.
No likes yet"
4,★★★★,2026-01-20,"★★★★
Watched by jeff 20 Jan 2026
these movies are the greatest thing ever. i need more immediately
No likes yet"
3,★★★,2026-01-20,"★★★ Watched by rreychellee 20 Jan 2026
miento si te digo que me acuerdo de todo pero sé que me gustaba mucho cuando me acordaba
No likes yet"
4,★★★★,2024-11-22,"★★★★ Watched by voley ࣪ ˖ 𖦹°⋆ 22 Nov 2024
njir naksir rubah
No likes yet"
4,★★★★,2026-01-20,"★★★★ Rewatched by Bryce 20 Jan 2026
Really clever and overall really good
1 like"
3.5,★★★½,2026-01-21,"★★★½ Watched by florandmovies 21 Jan 2026
after watching nick wilde in this movie maybe i do understand the furrys
No likes yet"
3.5,★★★½,2026-01-20,"★★★½
Watched by kat 20 Jan 2026
why does everyone sexualize the fox
No likes yet"
4,★★★★,2026-01-20,"★★★★ Rewatched by Jay 20 Jan 2026
the stereotype ain’t just about animals either 🤫
No likes yet"
3.5,★★★½,2026-01-20,"★★★½
Watched by Daniel Sánchez 20 Jan 2026
1
beastars pero más levesón
1 like"
4,★★★★,2026-01-20,"★★★★ Watched by leondiaazz 20 Jan 2026
no me la acordaba, estuvo entretenida, la vi con mis abuelos
No likes yet"
3.5,★★★½,2026-01-20,"★★★½
Rewatched by lydiaawesome 20 Jan 2026
i want judy hopps to die.
2 likes"
5,★★★★★,2026-01-20,"★★★★★
Watched by vinny 20 Jan 2026
Oh this masterpiece
1 like"
5,★★★★★,2026-01-20,"★★★★★
Watched by emil 20 Jan 2026
i wish i could give this 6 stars
No likes yet"
4,★★★★,2026-01-20,"★★★★
Watched by JonSchwann 20 Jan 2026
Predictable but lowk character growth
No likes yet"
5,★★★★★,2026-01-20,"★★★★★
Rewatched by Eyedsundew 20 Jan 2026
Zootopia é o ápice da Disney Animation fora de sua clássica forma, seguindo agora um estilo bem Pixar de maneira perfeita. O filme gera até debates por parecer mais um filme da Pixar do que da Disney, ao trazer uma metrópole inteiramente adaptada para todos os animais de diferentes espécies e classes viverem em harmonia, com um dos ( senão ) o universo mais criativo já feito pela Disney. O fato do filme seguir uma trama investigativa que trata sobre… more
No likes yet"
4.5,★★★★½,2026-01-21,"★★★★½ Rewatched by sophiebeaaaaa 21 Jan 2026
gotta deduct a half star for the police propaganda
No likes yet"
5,★★★★★,2026-01-20,"★★★★★
Rewatched by Elizabeth 20 Jan 2026
Esse filme nunca perde a graça, poderia assistir mil vezes e nessas mil vezes eu vou amar
No likes yet"
5,★★★★★,2026-01-21,"★★★★★ Watched by giseliiiii 21 Jan 2026
best movie, even my dog watches it
No likes yet"
4,★★★★,2026-01-20,"★★★★
Watched by FerKeyy 20 Jan 2026
la judy hopps no tiene derecho a estar tan buena hermano
No likes yet"
3,★★★,2026-01-20,"★★★ Watched by Emma Filipsson 20 Jan 2026
This plot is actually insane I can’t believe they got this approved
No likes yet"
4,★★★★,2018-01-07,"★★★★ Watched by Queenky 07 Jan 2018
💗
No likes yet"
3.5,★★★½,2026-01-21,"★★★½ Watched by Josh Bostancı 21 Jan 2026
Sexy
No likes yet"
4,★★★★,2026-01-19,"★★★★ Watched by andrewreed_ 19 Jan 2026
kinda crazy concept for a kids movie about cops but major gay storylines here
No likes yet"
3.5,★★★½,2026-01-21,"★★★½
Watched by 慈禧 21 Jan 2026
La película zootopia es una película que nos enseña sobre la perseverancia, la idealización y los estereotipos de todo tipo Nos narra la historia de una conejas llamada Hoops, cuyo sueño es ser un oficial de policía en un mundo dónde el conejo es uno de los animales subestimados por la sociedad e incluso por su especie
No likes yet"
4.5,★★★★½,2026-01-20,"★★★★½ Watched by ksharks420 20 Jan 2026
Ice em
No likes yet"
3.5,★★★½,2026-01-20,"★★★½ Rewatched by George 20 Jan 2026
That moment when it goes breaking baaaaad
No likes yet"
4.5,★★★★½,2026-01-20,"★★★★½
Watched by ddddddddddaniel 20 Jan 2026
1
Holy shit
1 like"
5,★★★★★,2026-01-20,"★★★★★ Watched by rbely 20 Jan 2026
FIRE nick x judy 4 ever <3
No likes yet"
5,★★★★★,2026-01-21,"★★★★★
Watched by K 21 Jan 2026
I want Nick
No likes yet"
3.5,★★★½,2026-01-20,"★★★½ Watched by liannabooth 20 Jan 2026
Cute movie! Liked it more than I thought I would
No likes yet"
5,★★★★★,2026-01-21T03:53:25.549Z,"★★★★★
Added by Lydia S. 21 Jan 2026
nick wilde ganteng BGTTT
No likes yet"
4,★★★★,2026-01-21,"★★★★
Watched by KANISHK HARIT 21 Jan 2026
This movie falls into the feel-good cinema category the kind you watch and get completely lost in, enjoying its world of visuals and animation.
The cute little rabbit and Nick’s chemistry feels really fun to watch.
No likes yet"
5,★★★★★,2025-10-08,"★★★★★ Watched by hzn 08 Oct 2025
nonton ini krn rekomen dari mz kerus.. overall seruuu dan kocak apalagi flash krn dia sgt merepresentasikan petugas sini (ups)
No likes yet"
4.5,★★★★½,2026-01-20,"★★★★½
Watched by Slaughter_fart (🏴‍☠️) 20 Jan 2026
they use a pvz gw sound effect in a scene
3 likes"
5,★★★★★,2026-01-21,"★★★★★ Watched by LadyEowyn90 21 Jan 2026
Vale la pena cada minuto. Vale más aún verla siendo adulto.
No likes yet"
5,★★★★★,2026-01-21,"★★★★★ Watched by tambsma 21 Jan 2026
Adoro esse filme.
No likes yet"
4.5,★★★★½,2026-01-20,"★★★★½ Rewatched by Paws 20 Jan 2026
Very very amazing movie, I’ve adored this for years. I love the messages they tackle and the story they tell and the way they can design the furry characters so well. Nick and Judy are an amazing duo and I loved all the jokes and it’s just such a greatly written movie
I love furries
No likes yet"
3.5,★★★½,2026-01-20,"★★★½
Rewatched by PresidentCart3r 20 Jan 2026
Good movie! Looks fantastic. Lots of plot points are resolved purely due to convenience which is boring but fun time.
No likes yet"
3,★★★,2026-01-20,"★★★ Rewatched by emilywadee 20 Jan 2026
I want to live in the little mouse town
No likes yet"
3.5,★★★½,2026-01-20,"★★★½
Watched by Michael 20 Jan 2026
Surprisingly good, and would be much better if I was a child who didn’t see the twist coming.
The movie looks amazing and I liked the animal references but if they had any BALLS they would’ve made at least one cop a pig
No likes yet"
4.5,★★★★½,2026-01-20,"★★★★½
Rewatched by keltay 20 Jan 2026
Does ACAB apply to Judy?
No likes yet"
3.5,★★★½,2026-01-20,"★★★½ Watched by jay_vid 20 Jan 2026
S/o the godfather
2026 really is the new 2016
No likes yet"
3.5,★★★½,2017-06-15,"★★★½ Rewatched by diana_zhan 15 Jun 2017
Fun watch. Watched when I was like year 5 though.
No likes yet"
4,★★★★,2026-01-20,"★★★★
Rewatched by Laura 20 Jan 2026
Afff muito legal!
No likes yet"
5,★★★★★,2026-01-20,"★★★★★
Rewatched by cheeksmagoo 20 Jan 2026
no wonder this is so good!! byron howard directed bolt and tangled!!
No likes yet"
3.5,★★★½,2026-01-20,"★★★½ Watched by Brian Kranz 20 Jan 2026
Cute movie
No likes yet"
3,★★★,2026-01-20,"★★★ Watched by elmogrof 20 Jan 2026
Bellwether said preys outnumbered predators 10 to 1 and then said preys represent 90% of the population of Zootopia. Apparently no one knew how to do math at Disney. Simply unwatchable.
No likes yet"
5,★★★★★,2026-01-20,"★★★★★ Watched by mamatwerkonit 20 Jan 2026
i fucks with this movie
No likes yet"
5,★★★★★,2026-01-20,"★★★★★
Watched by Z Mario 20 Jan 2026
Fui assistir Zootopia 2 com meu pai e ele perguntou se precisava ver o primeiro pra ver o segundo e eu tipo????? “VOCÊ NUNCA VIU ESSA OBRA PRIMA??”
Pois não disse mais nada! Sentamos no sofá e ele riu por 2 horas seguidas desse ABSOLUTE CINEMA, nossa sério, como pode a Disney ter acertado tanto na história, nos personagens, na dublagem, nas músicas…. Ele é TODO perfeito!
1 like"
4,★★★★,2026-01-20,"★★★★ Watched by jrodbox 20 Jan 2026
Don't ask me about the damn fox 🫥
No likes yet"
5,★★★★★,2026-01-20,"★★★★★ Rewatched by chae 20 Jan 2026
wow, this movie is so good. it actually never ever gets old no matter how many times i watch it. a perfect plot with perfect characters and perfect pacing. disney just doesn’t make these good of films anymore. nick and judy are so important to me and i just wish i could have endless screen time of this franchise because everything i’ve seen from it has all been great.
No likes yet"
4.5,★★★★½,2026-01-20,"★★★★½ Watched by Harpoon01 20 Jan 2026
I really am just a dumb bunny.
1 like"
4.5,★★★★½,2026-01-20,"★★★★½ Watched by vaida ✿ 20 Jan 2026
augh I love this movie
No likes yet"
0.5,½,2026-01-20,"½ Watched by lucymccray 20 Jan 2026
I HATE THIS (the dentist made me watch it)
No likes yet"
4,★★★★,2026-01-20,"★★★★ Watched by mikeheine22 20 Jan 2026
Godfather reference, Breaking Bad reference, DMV scene. 3 of the best things Disney has come up with since the OG Pixar days.
No likes yet"
4,★★★★,2026-01-20,"★★★★
Rewatched by duda 🤍 20 Jan 2026
sempre bom ver como o mundo fury começou a ser exaltado (te amo nick wilde
1 like"
3.5,★★★½,2026-01-20,"★★★½ Watched by leticia1895 20 Jan 2026
era chapa nessa raposa
No likes yet"
5,★★★★★,2026-01-21,"★★★★★
Watched by indickkator 21 Jan 2026
nick lu ganteng bgt sumpah
No likes yet"
5,★★★★★,2026-01-20,"★★★★★
Watched by Catarinabeber 20 Jan 2026
Um dos filmes que mais vi na minha infância. Eu amo demais esse filme, ele eh muito nostálgico, de conforto e bom
No likes yet"
