rating,rating_raw,date,content
4,★★★★,2016-01-23,"★★★★ Watched by bealobo 23 Jan 2016
This film was very bunny (sorry I had to).
3 likes"
3.5,★★★½,2016-01-28,"★★★½ Watched by Joseph G 28 Jan 2016
Not the most original film but the universe is quite interesting. It's also very funny.
No likes yet"
3.5,★★★½,2016-01-28,"★★★½
Watched by Francesco F. 28 Jan 2016
2
La coniglietta Judy Hopps vuole sfidare i pregiudizi e diventare la prima ""preda"" a entrare in polizia, un ambiente per soli ""predatori"". Nel mondo antropomorfo di Zootropolis infatti rimangono ancora latenti gli istinti rapaci delle prede contro predatori, e qualcuno sfrutterà questi istinti.
Rimpiango ancora l'animazione a matita, ma qui la Disney esibisce animazioni sbalorditive, degne dei grandi Maestri del passato.
Ritorno in grande stile anche per Michael Giacchino, che finalmente si diverte e non tenta di fare la grande… more
3 likes"
3.5,★★★½,2016-01-26,"★★★½
Watched by Matti 26 Jan 2016
1
A charming story with inspiring values, rich visuals and some surprising humour. Zootopia stumbles a bit in its third act, but remains a pleasant surprise that shows Pixar isn't the only one capable of entertaining yound and old with (digital) animation.
2 likes"
,,2016-02-02,"Watched by funderburker 02 Feb 2016
Stephen Hawking destacando que esta utopía es más bien una Zootopía la hubiera elevado bastante, en mi opinión.
12 likes"
,,2016-02-09T20:19:28.494Z,"Added by Scott J. Davis 10 Feb 2016
Embargo-topia.....
2 likes"
5,★★★★★,2016-02-09,"★★★★★
Rewatched by Connor Lightbody 09 Feb 2016
5
I laughed, I cried, I laughed again.
Zootopia is one of, if not the downright funniest animated movie that I have ever seen, with such a clever, if convenient script and themes that are so relevant for this modern society.
Universally loveable, the ENTIRE family will love this film, from pop culture references to its gorgeous animation.
Oh, and you've not seen anything of the Sloth from the trailer yet!
Full review embargoed!
42 likes"
4.5,★★★★½,2016-02-09,"★★★★½
Watched by Alex 09 Feb 2016
1
The following paragraph is to address the ""HOW DID YOU GET TO SEE THIS EARLY"" questions I would be getting if I didn't.
I was lucky enough to see Zootopia, or Zootropolis as it is otherwise known in the UK, 6 weeks ahead of it's official release in the UK. This was part of a 5 day long animation and gaming convention at Teesside University called Animex. The reason I was able to see Zootopia early was because one of… more
18 likes"
4,★★★★,2016-02-09,"★★★★ Watched by Mark Harrison 09 Feb 2016
Unofficially self-embargoed- there were notices up asking us not to share any details about the movie in print or online, so I shan't, but I've gotta say- I'm looking forward to the thinkpieces that this one inspires (#AnimalLivesMatter) and even on top of being really funny and surprisingly political, I applaud any Disney film that can get away with an extended visual reference to B_______ B__.
2 likes"
,,2016-02-05,"Watched by alexandra 05 Feb 2016
Embargoed.
2 likes"
5,★★★★★,2016-02-09,"★★★★★
Watched by Connor Lightbody 09 Feb 2016
11
“Life isn’t a cartoon musical where your dreams come true, so let it go!”""
I was very lucky and privileged to see Zootopia as part of the Animex Festival, with guest speaker Renato Des Anjos who is the Head of Animation for the ""Zootopia"" project and it's production. With that, I got to see the finished film with animation students, all of whom were excited and passionate about what they were witnessing. It was also a very intriguing watch due… more
88 likes"
5,★★★★★,2016-02-11,"★★★★★
Watched by nicklasjm 11 Feb 2016
1
This review may contain spoilers. I can handle the truth.
1 like"
4.5,★★★★½,2016-02-13,"★★★★½
Watched by Alberto Rodriguez Vaquero 13 Feb 2016
Zootropolis me ha encantado. Es desternillante hasta decir basta, visualmente preciosa, imaginativa y con un humor mas adulto que infantil.
La pareja protagonista son la caña. Hay secundarios interesantes y con peso. Y una colección de gags tan brillantes y desternillantes que son para colgarlos en una pared.
Además de tener un montón de guiños a cosas como El Padrino o Breaking Bad desternillantes, ocurrentes y sorprendentes en una peli de animacion. El diseño de Zootopolis, la animación de los… more
No likes yet"
4,★★★★,2016-02-14,"★★★★
Watched by Dafnext 14 Feb 2016
Esperaba ver una película con un corte totalmente infantil, sin mayor aspiraciones, para pasar el rato y poco más y me ha sorprendido tratando temas que afectan tanto como es el racismo o el acoso infantil. 2 horas de película donde estás ensimismado con ese mundo y sus personajes, con un montón de pequeños detalles que te enamorarán y con unos guiños muy buenos (uno muy claro a la serie Breaking Bad), no esperaba más que reirme (cosa que ha conseguido con creces) y me ha terminado enamorando.
Cabe destacar que la animación me ha parecido sublime.
8/10

Ya tengo ganas de volver a verla.
No likes yet"
5,★★★★★,2016-02-13,"★★★★★
Watched by kpucela 13 Feb 2016
Simplemente magnífica.
3 likes"
